Entity,Code,Year,Trust: Confidence in the United Nations,Trust: Confidence in the United Nations (Annotations)
Albania,ALB,1998,78.67868,
Albania,ALB,2004,81,
Albania,ALB,2010,67.53876,
Albania,ALB,2022,65.60438,
Algeria,DZA,2004,12.5585,
Algeria,DZA,2014,9,
Andorra,AND,2010,40.41057,
Andorra,AND,2022,48.30677,
Argentina,ARG,1998,33.89243,
Argentina,ARG,2004,35.24807,
Argentina,ARG,2010,19.20935,
Argentina,ARG,2014,26.88183,
Argentina,ARG,2022,23.47764,
Armenia,ARM,1998,64.95,
Armenia,ARM,2010,50.45173,
Armenia,ARM,2014,42.3042,
Armenia,ARM,2022,37.61989,
Australia,AUS,1998,47.87585,
Australia,AUS,2010,43.86911,
Australia,AUS,2014,54.45647,
Australia,AUS,2022,53.34806,
Austria,AUT,2004,37.87679,
Austria,AUT,2010,29.66851,
Austria,AUT,2022,42.57784,
Azerbaijan,AZE,1998,19.68032,
Azerbaijan,AZE,2014,33.6242,
Azerbaijan,AZE,2022,27.67787,
Bangladesh,BGD,1998,63.27869,
Bangladesh,BGD,2004,81.4,
Bangladesh,BGD,2022,60.25,
Belarus,BLR,1998,55.16253,
Belarus,BLR,2004,37.7,
Belarus,BLR,2010,44.22084,
Belarus,BLR,2014,55.66289,
Belarus,BLR,2022,42.27894,
Belgium,BEL,2004,40.73882,
Belgium,BEL,2010,59.45605,
Bolivia,BOL,2022,16.64248,
Bosnia and Herzegovina,BIH,1998,60.83334,
Bosnia and Herzegovina,BIH,2004,38,
Bosnia and Herzegovina,BIH,2010,32.32825,
Bosnia and Herzegovina,BIH,2022,43.81121,
Brazil,BRA,1998,65.26684,
Brazil,BRA,2010,45.96626,
Brazil,BRA,2014,37.16605,
Brazil,BRA,2022,36.70853,
Bulgaria,BGR,1998,52.70522,
Bulgaria,BGR,2004,29.60457,
Bulgaria,BGR,2010,43.03394,
Bulgaria,BGR,2022,32.97501,
Burkina Faso,BFA,2010,49.89817,
Canada,CAN,2004,59.04322,
Canada,CAN,2010,54.37783,
Canada,CAN,2022,57.17181,
Chile,CHL,1998,53.141,
Chile,CHL,2004,46.84444,
Chile,CHL,2010,37.92011,
Chile,CHL,2014,43.2,
Chile,CHL,2022,42.28958,
China,CHN,1998,41.53333,
China,CHN,2004,37.1,
China,CHN,2010,29.23872,
China,CHN,2014,31.63682,
Colombia,COL,2010,46.67768,
Colombia,COL,2014,43.05555,
Colombia,COL,2022,25.98684,
Croatia,HRV,1998,25.08361,
Croatia,HRV,2004,42.30806,
Croatia,HRV,2010,24.8716,
Croatia,HRV,2022,26.74579,
Cyprus,CYP,2010,36.66468,
Cyprus,CYP,2014,38.73459,
Cyprus,CYP,2022,34.80808,
Czechia,CZE,1998,56.40802,
Czechia,CZE,2004,44.14543,
Czechia,CZE,2010,41.03821,
Czechia,CZE,2022,39.2091,
Denmark,DNK,2004,58.16227,
Denmark,DNK,2010,68.52388,
Denmark,DNK,2022,67.67039,
Dominican Republic,DOM,1998,40.04796,
Ecuador,ECU,2014,39.35108,
Ecuador,ECU,2022,42,
Egypt,EGY,2004,26.43333,
Egypt,EGY,2010,33.06409,
Egypt,EGY,2014,8.325516,
Egypt,EGY,2022,1.833333,
El Salvador,SLV,1998,48.56459,
Estonia,EST,1998,61.01861,
Estonia,EST,2004,33.21885,
Estonia,EST,2010,46.75303,
Estonia,EST,2014,57.11899,
Estonia,EST,2022,36.39709,
Ethiopia,ETH,2010,35.73333,
Ethiopia,ETH,2022,47.18367,
Finland,FIN,1998,52.38095,
Finland,FIN,2004,42.33122,
Finland,FIN,2010,57.77758,
Finland,FIN,2022,55.79677,
France,FRA,2004,49.88255,
France,FRA,2010,58.53337,
France,FRA,2022,51.57831,
Georgia,GEO,1998,55.92629,
Georgia,GEO,2010,51.39463,
Georgia,GEO,2014,46.75541,
Georgia,GEO,2022,47.2174,
Germany,DEU,1998,37.61105,
Germany,DEU,2004,47.38822,
Germany,DEU,2010,36.04961,
Germany,DEU,2014,45.72071,
Germany,DEU,2022,40.70691,
Ghana,GHA,2010,69.21069,
Ghana,GHA,2014,65.09229,
Greece,GRC,2004,18.34943,
Greece,GRC,2010,33.90626,
Greece,GRC,2022,29.7822,
Guatemala,GTM,2010,44.01282,
Guatemala,GTM,2022,27.17657,
Haiti,HTI,2014,2.87622,
Hong Kong,HKG,2014,56.5,
Hong Kong,HKG,2022,52.18628,
Hungary,HUN,1998,60,
Hungary,HUN,2004,50.31189,
Hungary,HUN,2010,50.37094,
Hungary,HUN,2022,38.25292,
Iceland,ISL,2004,68.49173,
Iceland,ISL,2010,65.13733,
Iceland,ISL,2022,67.82135,
India,IND,1998,28.77451,
India,IND,2004,22.67732,
India,IND,2010,25.63718,
India,IND,2014,29.57332,
India,IND,2022,38.55831,
Indonesia,IDN,2004,42.5,
Indonesia,IDN,2010,46.73967,
Indonesia,IDN,2022,65.02158,
Iran,IRN,2004,23.65719,
Iran,IRN,2010,37.15786,
Iran,IRN,2022,44.8966,
Iraq,IRQ,2004,13.2043,
Iraq,IRQ,2010,11.51425,
Iraq,IRQ,2014,16.58333,
Iraq,IRQ,2022,22.66667,
Ireland,IRL,2004,55.91839,
Ireland,IRL,2010,49.35015,
Italy,ITA,2004,63.8,
Italy,ITA,2010,55.9202,
Italy,ITA,2022,49.26937,
Japan,JPN,1998,46.48956,
Japan,JPN,2004,46.40235,
Japan,JPN,2010,52.18978,
Japan,JPN,2014,41.99754,
Japan,JPN,2022,41.61123,
Jordan,JOR,2004,30.00797,
Jordan,JOR,2010,32.14548,
Jordan,JOR,2014,17.16667,
Jordan,JOR,2022,13.71571,
Kazakhstan,KAZ,2014,69.36977,
Kazakhstan,KAZ,2022,56.26959,
Kenya,KEN,2022,64.47785,
Kosovo,OWID_KOS,2010,69.95801,
Kuwait,KWT,2014,34.91942,
Kyrgyzstan,KGZ,2004,57.71812,
Kyrgyzstan,KGZ,2014,65.8,
Kyrgyzstan,KGZ,2022,57.52967,
Latvia,LVA,1998,55.41667,
Latvia,LVA,2004,35.43929,
Latvia,LVA,2010,42.92516,
Latvia,LVA,2022,44.19061,
Lebanon,LBN,2014,29.5,
Lebanon,LBN,2022,17.66667,
Libya,LBY,2014,19.85688,
Libya,LBY,2022,13.07628,
Lithuania,LTU,1998,38.2557,
Lithuania,LTU,2004,29.20465,
Lithuania,LTU,2010,46.64756,
Lithuania,LTU,2022,51.55936,
Luxembourg,LUX,2004,58.05956,
Luxembourg,LUX,2010,61.96572,
Macao,MAC,2022,74.40711,
Malaysia,MYS,2010,49.29226,
Malaysia,MYS,2014,61.84615,
Malaysia,MYS,2022,55.44555,
Maldives,MDV,2022,56.59288,
Mali,MLI,2010,61.19205,
Malta,MLT,2004,54.22784,
Malta,MLT,2010,50.05917,
Mexico,MEX,1998,50.59603,
Mexico,MEX,2004,35.76375,
Mexico,MEX,2010,50.96154,
Mexico,MEX,2014,48.8,
Mexico,MEX,2022,35.25781,
Moldova,MDA,1998,68.19106,
Moldova,MDA,2004,64.62986,
Moldova,MDA,2010,42.68253,
Mongolia,MNG,2022,41.1946,
Montenegro,MNE,1998,42.5,
Montenegro,MNE,2004,41.22641,
Montenegro,MNE,2010,35.24734,
Montenegro,MNE,2022,48.83919,
Morocco,MAR,2004,5.973278,
Morocco,MAR,2010,16.08333,
Morocco,MAR,2014,18.91667,
Morocco,MAR,2022,29.41667,
Myanmar,MMR,2022,80.08334,
Netherlands,NLD,2004,53.69956,
Netherlands,NLD,2010,45.2648,
Netherlands,NLD,2014,41.95583,
Netherlands,NLD,2022,44.28386,
New Zealand,NZL,1998,47.7935,
New Zealand,NZL,2010,42.24319,
New Zealand,NZL,2014,44.82759,
New Zealand,NZL,2022,47.5122,
Nicaragua,NIC,2022,28.16667,
Nigeria,NGA,1998,65.09595,
Nigeria,NGA,2004,65.18299,
Nigeria,NGA,2014,55.06291,
Nigeria,NGA,2022,51.1911,
North Macedonia,MKD,1998,37.98995,
North Macedonia,MKD,2004,35.35162,
North Macedonia,MKD,2010,50.90437,
North Macedonia,MKD,2022,47.3215,
Northern Cyprus,OWID_CYN,2010,38.92827,
Northern Ireland,,2004,40.97473,
Northern Ireland,,2010,34.50245,
Northern Ireland,,2022,51.98869,
Norway,NOR,1998,72.22715,
Norway,NOR,2010,82.47017,
Norway,NOR,2022,76.28638,
Pakistan,PAK,2004,18.95,
Pakistan,PAK,2014,23.14959,
Pakistan,PAK,2022,39.599,
Palestine,PSE,2014,8.2,
Peru,PER,1998,44.67382,
Peru,PER,2004,41.37242,
Peru,PER,2010,26.95879,
Peru,PER,2014,42.63934,
Peru,PER,2022,30.01511,
Philippines,PHL,1998,73.5,
Philippines,PHL,2004,72.35062,
