Entity,Code,Year,Homosexuality: Not justifiable,World region according to OWID,Homosexuality: Not justifiable (Annotations)
Albania,ALB,1998,83.08308,Europe,
Albania,ALB,2004,91.39999,Europe,
Albania,ALB,2010,76.76758,Europe,
Albania,ALB,2022,83.66472,Europe,
Algeria,DZA,2004,95.47581,Africa,
Algeria,DZA,2014,74.83334,Africa,
Andorra,AND,2010,10.66386,Europe,
Andorra,AND,2022,10.75697,Europe,
Argentina,ARG,1984,69.2563,South America,
Argentina,ARG,1993,66.76646,South America,
Argentina,ARG,1998,41.10847,South America,
Argentina,ARG,2004,43.70055,South America,
Argentina,ARG,2010,33.38482,South America,
Argentina,ARG,2014,31.43941,South America,
Argentina,ARG,2022,25.00023,South America,
Armenia,ARM,1998,80.8,Asia,
Armenia,ARM,2010,96.91998,Asia,
Armenia,ARM,2014,97.70454,Asia,
Armenia,ARM,2022,94.06127,Asia,
Australia,AUS,1984,54.96312,Oceania,
Australia,AUS,1998,43.01437,Oceania,
Australia,AUS,2010,32.78855,Oceania,
Australia,AUS,2014,20.4251,Oceania,
Australia,AUS,2022,16.6998,Oceania,
Austria,AUT,1993,64.09384,Europe,
Austria,AUT,2004,40.61536,Europe,
Austria,AUT,2010,35.14515,Europe,
Austria,AUT,2022,21.01952,Europe,
Azerbaijan,AZE,1998,88.61139,Asia,
Azerbaijan,AZE,2014,98.02955,Asia,
Azerbaijan,AZE,2022,90.48132,Asia,
Bangladesh,BGD,2004,96.4,Asia,
Bangladesh,BGD,2022,95.75,Asia,
Belarus,BLR,1993,83.74384,Europe,
Belarus,BLR,1998,70.88911,Europe,
Belarus,BLR,2004,66.8,Europe,
Belarus,BLR,2010,73.25625,Europe,
Belarus,BLR,2014,79.86076,Europe,
Belarus,BLR,2022,76.96824,Europe,
Belgium,BEL,1984,60.98413,Europe,
Belgium,BEL,1993,52.14432,Europe,
Belgium,BEL,2004,34.99314,Europe,
Belgium,BEL,2010,29.42172,Europe,
Bolivia,BOL,2022,59.45815,South America,
Bosnia and Herzegovina,BIH,1998,84.91667,Europe,
Bosnia and Herzegovina,BIH,2004,85.5,Europe,
Bosnia and Herzegovina,BIH,2010,87.76357,Europe,
Bosnia and Herzegovina,BIH,2022,89.11941,Europe,
Brazil,BRA,1993,77.49807,South America,
Brazil,BRA,1998,67.10411,South America,
Brazil,BRA,2010,47.49163,South America,
Brazil,BRA,2014,43.08959,South America,
Brazil,BRA,2022,35.86702,South America,
Bulgaria,BGR,1993,84.91296,Europe,
Bulgaria,BGR,1998,51.86567,Europe,
Bulgaria,BGR,2004,68.25274,Europe,
Bulgaria,BGR,2010,57.62448,Europe,
Bulgaria,BGR,2022,70.53515,Europe,
Burkina Faso,BFA,2010,86.22754,Africa,
Canada,CAN,1984,64.5496,North America,
Canada,CAN,1993,52.3334,North America,
Canada,CAN,2004,34.60587,North America,
Canada,CAN,2010,28.29811,North America,
Canada,CAN,2022,11.4143,North America,
Chile,CHL,1993,86.6,South America,
Chile,CHL,1998,64.5788,South America,
Chile,CHL,2004,52.35111,South America,
Chile,CHL,2010,39.18432,South America,
Chile,CHL,2014,28,South America,
Chile,CHL,2022,40.11349,South America,
China,CHN,1993,95,Asia,
China,CHN,1998,88.13333,Asia,
China,CHN,2004,87.3,Asia,
China,CHN,2010,77.48569,Asia,
China,CHN,2014,70.94439,Asia,
China,CHN,2022,82.76263,Asia,
Colombia,COL,1998,75.66805,South America,
Colombia,COL,2010,59.6033,South America,
Colombia,COL,2014,62.96296,South America,
Colombia,COL,2022,54.86842,South America,
Croatia,HRV,1998,55.01672,Europe,
Croatia,HRV,2004,77.44523,Europe,
Croatia,HRV,2010,77.95536,Europe,
Croatia,HRV,2022,63.6609,Europe,
Cyprus,CYP,2010,68.77078,Europe,
Cyprus,CYP,2014,53.56913,Europe,
Cyprus,CYP,2022,51.83689,Europe,
Czechia,CZE,1993,51.82987,Europe,
Czechia,CZE,1998,18.483,Europe,
Czechia,CZE,2004,38.83438,Europe,
Czechia,CZE,2010,43.24656,Europe,
Czechia,CZE,2022,23.81071,Europe,
Denmark,DNK,1984,43.87187,Europe,
Denmark,DNK,1993,42.42719,Europe,
Denmark,DNK,2004,25.41544,Europe,
Denmark,DNK,2010,17.61049,Europe,
Denmark,DNK,2022,6.828658,Europe,
Dominican Republic,DOM,1998,64.26859,North America,
Ecuador,ECU,2014,71.29784,South America,
Ecuador,ECU,2022,58.2289,South America,
Egypt,EGY,2004,99.86666,Africa,
El Salvador,SLV,1998,83.41308,North America,
Estonia,EST,1993,85.11904,Europe,
Estonia,EST,1998,71.2047,Europe,
Estonia,EST,2004,61.48849,Europe,
Estonia,EST,2010,75.92479,Europe,
Estonia,EST,2014,59.97833,Europe,
Estonia,EST,2022,53.4691,Europe,
Ethiopia,ETH,2010,95.13333,Africa,
Ethiopia,ETH,2022,80.09788,Africa,
Finland,FIN,1984,64.40678,Europe,
Finland,FIN,1993,49.82993,Europe,
Finland,FIN,1998,49.34144,Europe,
Finland,FIN,2004,44.66404,Europe,
Finland,FIN,2010,29.72593,Europe,
Finland,FIN,2022,20.40219,Europe,
France,FRA,1984,63.18566,Europe,
France,FRA,1993,49.2016,Europe,
France,FRA,2004,31.38907,Europe,
France,FRA,2010,26.50159,Europe,
France,FRA,2022,20.22517,Europe,
Georgia,GEO,1998,89.64143,Asia,
Georgia,GEO,2010,96.53967,Asia,
Georgia,GEO,2014,97.58736,Asia,
Georgia,GEO,2022,93.09,Asia,
Germany,DEU,1984,65.20187,Europe,
Germany,DEU,1993,48.47801,Europe,
Germany,DEU,1998,27.39388,Europe,
