Entity,Code,Year,Justice system (courts),Police,Civil services,Armed forces,Political parties,Government,Parliament,Justice system (courts) (Annotations),Police (Annotations),Civil services (Annotations),Armed forces (Annotations),Political parties (Annotations),Government (Annotations),Parliament (Annotations)
Albania,ALB,1998,56.95696,71.87187,16.21622,56.75676,22.22222,37.93794,56.25626,,,,,,,
Albania,ALB,2004,,64.3,35,53.3,28.6,57.3,43.7,,,,,,,
Albania,ALB,2010,23.78716,59.07684,34.04862,48.54284,21.08744,24.0801,31.61334,,,,,,,
Albania,ALB,2022,22.27588,57.65759,34.32358,61.67404,5.655044,14.15623,7.55484,,,,,,,
Algeria,DZA,2004,,62.94852,54.36818,61.23245,17.16069,50.93604,29.17317,,,,,,,
Algeria,DZA,2014,40,52.33333,33.41667,53.83334,18.83333,33.91667,22,,,,,,,
Andorra,AND,2010,35.51207,61.4059,35.54786,,16.1071,33.4654,,,,,,,,
Andorra,AND,2022,57.56972,76.19521,55.77689,,22.60956,48.70518,36.65339,,,,,,,
Argentina,ARG,1984,57.85465,24.56988,49.06784,18.50117,,,71.42488,,,,,,,
Argentina,ARG,1993,23.35329,26.24751,7.385229,28.34331,,,16.66667,,,,,,,
Argentina,ARG,1998,26.25139,22.23116,7.462364,22.32356,8.152466,26.04412,15.17079,,,,,,,
Argentina,ARG,2004,,23.8147,6.596296,25.44693,7.041096,18.82938,10.56068,,,,,,,
Argentina,ARG,2010,19.80023,21.04544,7.854558,30.50318,7.612036,36.82981,12.98982,,,,,,,
Argentina,ARG,2014,18.57088,24.95667,16.15312,28.7688,15.06472,31.64394,24.971,,,,,,,
Argentina,ARG,2022,19.24952,29.7931,18.14495,35.17443,11.73632,29.22181,20.35002,,,,,,,
Armenia,ARM,1998,30.4,31.3,34.75,70.8,15.05,41.2,29.25,,,,,,,
Armenia,ARM,2010,40.43282,44.92405,41.17712,87.91488,30.36552,51.65641,38.88304,,,,,,,
Armenia,ARM,2014,29.88286,38.13701,33.40154,87.84241,22.49445,38.33352,25.72864,,,,,,,
Armenia,ARM,2022,31.20663,41.63303,35.37873,76.8299,18.50382,28.62215,22.5443,,,,,,,
Australia,AUS,1984,60.08207,79.94472,46.78627,66.21588,,,54.82138,,,,,,,
Australia,AUS,1998,34.32751,75.21461,37.38905,66.01344,15.49332,25.79581,29.83713,,,,,,,
Australia,AUS,2010,51.03769,81.99451,38.15666,82.45265,13.62705,38.85142,33.40263,,,,,,,
Australia,AUS,2014,58.08906,82.84526,43.74894,86.3338,13.04898,30.01254,28.2872,,,,,,,
Australia,AUS,2022,58.87946,80.08109,48.15857,82.00356,10.65669,30.23791,27.5556,,,,,,,
Austria,AUT,1993,57.98696,66.62203,40.39275,28.0973,,,39.90868,,,,,,,
Austria,AUT,2004,65.60722,74.38279,40.061,38.10536,,,39.06421,,,,,,,
Austria,AUT,2010,62.827,67.53938,39.19204,41.16071,14.47285,17.6125,29.22949,,,,,,,
Austria,AUT,2022,72.18668,84.88924,57.0452,62.59353,25.57426,38.38537,43.62713,,,,,,,
Azerbaijan,AZE,1998,44.15585,37.71229,37.46254,53.24675,46.25375,85.86414,66.48351,,,,,,,
Azerbaijan,AZE,2014,58.78434,60.35926,62.96567,74.94765,41.05069,80.07723,63.65512,,,,,,,
Azerbaijan,AZE,2022,57.59319,78.30335,72.29463,92.11435,31.35825,89.51009,61.56466,,,,,,,
Bangladesh,BGD,1998,71.86886,36.13115,71.47541,51.93443,65.5082,77.2459,76.9836,,,,,,,
Bangladesh,BGD,2004,,52.6,95,71.6,77.86667,86.46667,86.4,,,,,,,
Bangladesh,BGD,2022,77.66666,45.16666,68.5,90.08333,43.91667,81.16666,74.75,,,,,,,
Belarus,BLR,1993,25.91133,21.28079,19.50739,60.8867,22.46305,,29.26108,,,,,,,
Belarus,BLR,1998,46.55832,36.80688,45.8413,70.41109,13.81453,47.89675,26.14723,,,,,,,
Belarus,BLR,2004,42.5,38.5,21,64.7,,,32.7,,,,,,,
Belarus,BLR,2010,55.7197,57.97637,34.97237,70.16529,25.75101,59.37632,53.72812,,,,,,,
Belarus,BLR,2014,54.90983,54.59698,65.30376,74.522,35.01173,56.06274,48.90726,,,,,,,
Belarus,BLR,2022,57.11303,59.47251,30.78458,63.81709,25.7437,49.93998,45.50295,,,,,,,
Belgium,BEL,1984,53.5484,60.57837,41.56972,40.39006,,,33.88458,,,,,,,
Belgium,BEL,1993,44.28385,50.7597,41.90895,32.91115,,,42.35118,,,,,,,
Belgium,BEL,2004,33.91382,55.24424,43.57254,35.97129,,,34.3436,,,,,,,
Belgium,BEL,2010,50.09104,71.24422,55.83256,49.71087,20.33354,31.74865,42.01996,,,,,,,
Bolivia,BOL,2022,13.7881,15.14272,10.88534,26.89889,5.46686,23.31882,9.240445,,,,,,,
Bosnia and Herzegovina,BIH,1998,69.41666,78.66667,59.16666,86.16667,45.5,69.33334,54.83334,,,,,,,
Bosnia and Herzegovina,BIH,2004,,63.33333,29.16667,59.91667,14.41667,29.33333,19.83333,,,,,,,
Bosnia and Herzegovina,BIH,2010,38.31099,53.78634,34.68073,43.10969,12.40468,20.50631,25.76766,,,,,,,
Bosnia and Herzegovina,BIH,2022,27.84776,56.99744,31.64781,54.75631,12.4526,18.30292,16.17511,,,,,,,
Brazil,BRA,1993,44.28207,37.99319,48.72843,66.54646,,,24.19164,,,,,,,
Brazil,BRA,1998,54.76815,44.88189,58.61768,69.99125,32.28346,48.29396,33.24584,,,,,,,
Brazil,BRA,2010,49.31306,44.5021,51.63074,69.09898,20.83769,45.87339,24.5789,,,,,,,
Brazil,BRA,2014,50.61511,45.02842,50.81327,58.66816,15.91082,41.06213,20.89995,,,,,,,
Brazil,BRA,2022,50.32122,54.15098,48.79414,60.59941,13.45666,22.55978,15.69169,,,,,,,
Bulgaria,BGR,1993,44.97099,45.84139,29.78723,67.9884,,,48.16248,,,,,,,
Bulgaria,BGR,1998,35.54105,48.13433,41.97761,75.74627,26.6791,55.97015,42.16418,,,,,,,
Bulgaria,BGR,2004,24.12766,44.48927,19.86774,53.63589,,,25.04153,,,,,,,
Bulgaria,BGR,2010,24.13905,40.58551,24.82327,50.51795,11.85593,20.90605,14.73136,,,,,,,
Bulgaria,BGR,2022,14.49197,34.63946,19.56268,38.41366,13.63884,19.8971,15.00189,,,,,,,
Burkina Faso,BFA,2010,43.03714,49.34383,50.86782,65.14851,25.48495,44.17831,33.17694,,,,,,,
Canada,CAN,1984,62.94955,84.36402,49.00872,57.66136,,,42.23583,,,,,,,
Canada,CAN,1993,54.09602,83.77206,49.4859,56.52252,,,37.67204,,,,,,,
Canada,CAN,2004,,78.10736,48.02233,61.59156,22.01537,40.61345,39.4255,,,,,,,
Canada,CAN,2010,64.3069,80.7366,51.73966,69.0293,22.24965,36.75193,35.84771,,,,,,,
Canada,CAN,2022,58.05032,68.50364,56.23949,74.39882,23.55199,46.15686,44.2714,,,,,,,
Chile,CHL,1993,44.73333,58.73333,49.2,40.46667,50.26667,58.6,63.4,,,,,,,
Chile,CHL,1998,44.2802,50.1096,44.6166,54.9438,24.801,51.9032,37.9862,,,,,,,
Chile,CHL,2004,,54.64889,39.26667,46.91889,26.91334,56.94445,34.07556,,,,,,,
Chile,CHL,2010,28.23367,56.43943,33.3242,57.52037,17.44698,45.9654,23.57066,,,,,,,
Chile,CHL,2014,26.2,63.9,32,55.2,16.9,33.6,24.7,,,,,,,
Chile,CHL,2022,30.11864,46.94456,34.41901,46.72585,17.59623,36.28298,21.56278,,,,,,,
China,CHN,1993,74.3,64.7,53.6,87.9,71,,78.1,,,,,,,
China,CHN,2004,,71.3,47.6,96,86.1,95.2,90.2,,,,,,,
China,CHN,2010,76.24524,74.43291,74.4819,82.01871,74.68375,87.51522,81.34353,,,,,,,
China,CHN,2014,71.15272,66.61793,65.70473,84.0181,74.50355,84.54762,77.38734,,,,,,,
China,CHN,2022,85.95217,84.52081,86.53217,95.10825,90.58287,94.63369,92.28102,,,,,,,
Colombia,COL,1998,46.90456,49.02905,31.56846,60.43153,17.02905,35.49026,24.19917,,,,,,,
Colombia,COL,2010,34.08265,49.19008,30.38017,59.90083,19.04132,50.38017,24.16529,,,,,,,
Colombia,COL,2014,33.86243,45.43651,22.94974,56.28307,17.2619,39.21958,20.70106,,,,,,,
Colombia,COL,2022,13.22368,24.67105,8.092106,38.81579,5.197369,11.9079,5.394737,,,,,,,
Croatia,HRV,1998,49.58194,59.36455,35.4515,77.34114,21.07023,50.50167,39.88294,,,,,,,
Croatia,HRV,2004,34.64957,52.57472,34.04398,63.87306,,,21.85261,,,,,,,
Croatia,HRV,2010,18.93827,36.27799,26.79439,44.65645,7.333273,13.97642,11.7384,,,,,,,
Croatia,HRV,2022,13.67181,45.50864,25.80066,60.45145,4.166691,9.54931,7.195002,,,,,,,
Cyprus,CYP,2010,65.98446,62.2628,53.00007,64.25092,30.32896,54.82063,49.84185,,,,,,,
Cyprus,CYP,2014,66.31003,56.57449,44.8498,66.70602,23.26718,38.52059,41.73822,,,,,,,
Cyprus,CYP,2022,49.24953,51.62632,44.30052,61.26466,14.24601,34.33741,25.94653,,,,,,,
Czechia,CZE,1993,44.27959,37.58655,32.60798,40.19123,48.05195,47.72727,40.55391,,,,,,,
Czechia,CZE,1998,28.42197,43.41761,38.27376,42.19704,14.29817,29.81691,19.79076,,,,,,,
Czechia,CZE,2004,22.69584,32.4745,21.43481,24.64389,,,11.96268,,,,,,,
Czechia,CZE,2010,33.44617,41.28156,32.30468,31.71005,15.09971,20.07074,16.20193,,,,,,,
Czechia,CZE,2022,46.14834,60.32165,40.73851,46.98959,14.56723,23.8234,21.948,,,,,,,
Denmark,DNK,1984,79.04285,85.2357,46.41046,40.6965,,,36.17252,,,,,,,
Denmark,DNK,1993,77.96117,88.25243,50.38835,44.66019,,,41.35922,,,,,,,
Denmark,DNK,2004,75.17107,89.83382,52.49267,57.86901,,,46.82307,,,,,,,
Denmark,DNK,2010,85.25996,89.60658,65.89326,69.27353,41.71145,53.92833,68.6737,,,,,,,
Denmark,DNK,2022,80.19765,87.61541,54.25383,74.82629,27.67987,39.15484,46.37433,,,,,,,
Dominican Republic,DOM,1998,14.38849,11.99041,9.11271,28.29736,8.153478,11.99041,11.51079,,,,,,,
Ecuador,ECU,2014,32.69551,47.08818,23.71048,57.90349,23.4609,50.41597,29.7005,,,,,,,
Ecuador,ECU,2022,40.33333,52.83333,14.58333,58.41666,17,31.83333,21.66667,,,,,,,
Egypt,EGY,2004,,87.43333,58.36667,57.1,40.96667,53.33334,64.56667,,,,,,,
Egypt,EGY,2010,,,58.1122,,,,,,,,,,,
Egypt,EGY,2014,54.45055,50.34449,32.40601,,19.85774,39.69149,25.26424,,,,,,,
Egypt,EGY,2022,,,18.66667,,2.333333,,7.666667,,,,,,,
El Salvador,SLV,1998,40.27113,48.88357,,45.13557,16.58692,40.27113,30.38278,,,,,,,
Estonia,EST,1993,32.34127,18.84921,,22.42064,,,,,,,,,,
Estonia,EST,1998,60.03917,49.95103,58.17826,45.54358,21.5475,48.67776,41.62586,,,,,,,
Estonia,EST,2004,29.99856,33.00883,36.64686,31.82171,,,25.01827,,,,,,,
Estonia,EST,2010,52.6002,67.90708,57.36585,56.51344,11.85808,35.24817,27.62578,,,,,,,
Estonia,EST,2014,64.39883,77.10854,70.01788,69.85017,26.93781,52.7685,40.8908,,,,,,,
Estonia,EST,2022,57.38256,80.13661,63.15045,64.32127,12.32974,40.1803,31.15605,,,,,,,
Ethiopia,ETH,2010,24.73333,29.93333,28.86667,38.66666,36.2,23.93333,21.86667,,,,,,,
Ethiopia,ETH,2022,62.84553,58.17738,49.5114,75.02034,28.25733,65.50041,46.3355,,,,,,,
Finland,FIN,1984,83.25025,87.13858,51.94417,71.08674,,,64.50648,,,,,,,
Finland,FIN,1993,64.96599,74.31973,31.46259,54.76191,,,33.16327,,,,,,,
Finland,FIN,1998,67.78116,84.90375,33.33334,80.95238,13.17123,31.00304,30.69909,,,,,,,
Finland,FIN,2004,64.92904,89.61813,39.67821,83.03121,,,43.01842,,,,,,,
Finland,FIN,2010,76.11427,91.04227,50.77985,83.80842,20.91027,51.27054,48.51725,,,,,,,
Finland,FIN,2022,78.87866,93.60593,53.8456,88.08039,19.13333,41.63538,44.72442,,,,,,,
France,FRA,1984,54.91998,64.30628,49.95633,53.82435,,,47.92758,,,,,,,
France,FRA,1993,55.58883,65.06986,46.40719,54.39122,,,43.41317,,,,,,,
France,FRA,2004,45.06507,65.50169,44.7319,60.97126,,,38.78117,,,,,,,
France,FRA,2010,49.18852,73.12734,58.69025,70.33459,16.12198,31.84488,44.1216,,,,,,,
France,FRA,2022,58.30864,77.89206,52.55956,77.70885,11.4745,30.72017,33.0829,,,,,,,
Georgia,GEO,1998,44.32271,37.15139,53.68526,50.54781,32.61952,50,39.44223,,,,,,,
Georgia,GEO,2010,24.51394,50.43291,39.67649,67.72359,18.83302,37.93161,27.99735,,,,,,,
Georgia,GEO,2014,33.11148,49.75042,47.17138,77.78703,20.2163,32.44592,29.28452,,,,,,,
Georgia,GEO,2022,38.80613,57.34931,54.35524,78.14816,20.28412,37.3781,29.79642,,,,,,,
Germany,DEU,1984,66.43995,70.42475,35.46318,54.11825,,,52.8896,,,,,,,
Germany,DEU,1993,60.43006,63.74346,34.49665,34.49104,,,48.49012,,,,,,,
Germany,DEU,1998,43.04047,60.85883,43.43534,43.63277,11.64857,20.03949,22.1619,,,,,,,
Germany,DEU,2004,59.80424,72.56503,37.18129,51.98961,,,34.16714,,,,,,,
Germany,DEU,2010,55.60409,72.42841,33.22609,50.65246,12.72867,25.00162,28.16097,,,,,,,
Germany,DEU,2014,71.26139,81.65542,54.23932,63.67472,23.97851,44.32367,43.54528,,,,,,,
Germany,DEU,2022,65.41376,83.34177,56.41639,49.77761,19.02953,37.68225,39.07377,,,,,,,
Ghana,GHA,2010,62.46736,54.1721,58.90411,75.6193,40.11742,70.73012,63.36375,,,,,,,
Ghana,GHA,2014,58.95325,56.81313,67.52677,78.91921,41.85886,60.79173,56.31665,,,,,,,
Greece,GRC,2004,42.99475,27.84588,14.18564,66.81261,,,23.83874,,,,,,,
Greece,GRC,2010,48.92279,53.16288,25.04449,69.3895,16.01929,21.16206,30.19451,,,,,,,
Greece,GRC,2022,59.1758,70.74888,43.24277,80.28142,7.235911,12.94653,14.24016,,,,,,,
Guatemala,GTM,2010,,25.02916,14.72612,36.5626,11.8206,36.14871,11.48564,,,,,,,
Guatemala,GTM,2022,13.99512,14.48332,8.706264,22.70138,6.753458,9.1131,8.706264,,,,,,,
Haiti,HTI,2014,7.491021,4.361211,8.927655,5.746537,5.33607,5.130836,16.67522,,,,,,,
Hong Kong,HKG,2010,,82.10863,58.38658,52.39617,26.51757,54.95208,49.12141,,,,,,,
Hong Kong,HKG,2014,85.5,79.6,58.8,57.7,27.9,59.4,45.6,,,,,,,
Hong Kong,HKG,2022,78.61688,67.40272,56.54313,54.27987,23.46401,55.00685,32.07455,,,,,,,
Hungary,HUN,1984,84.10921,,69.97719,,,,84.26612,,,,,,,
Hungary,HUN,1993,57.85786,50.15015,47.84785,50.65065,,,39.13914,,,,,,,
Hungary,HUN,1998,50.61538,54.92308,50,56.46154,19.07692,42.46154,37.38461,,,,,,,
Hungary,HUN,2004,43.81283,44.80233,47.30424,44.64879,,,32.61106,,,,,,,
Hungary,HUN,2010,43.72326,49.34912,41.50361,39.39454,9.303545,16.58599,19.32771,,,,,,,
Hungary,HUN,2022,48.34018,66.29034,53.55792,54.19525,15.14166,37.61436,34.7245,,,,,,,
Iceland,ISL,1984,69.78233,75.51151,48.1126,,,,57.76637,,,,,,,
Iceland,ISL,1993,65.66951,84.04559,45.01424,23.36182,,,52.70655,,,,,,,
Iceland,ISL,2004,71.79752,82.43802,54.54546,38.84298,,,70.76447,,,,,,,
Iceland,ISL,2010,65.52356,91.75343,58.20737,41.75339,16.68321,31.9929,38.7712,,,,,,,
Iceland,ISL,2022,60.11163,89.84678,58.62585,,17.58871,30.85504,36.21198,,,,,,,
India,IND,1993,62.8,39.08,70.96,92.4,53.04,43.36,65.04,,,,,,,
India,IND,1998,66.81373,35.73529,53.23529,73.52941,39.41177,48.28431,53.33334,,,,,,,
India,IND,2004,,33.96603,37.86214,83.31668,28.07193,48.55145,41.60839,,,,,,,
India,IND,2010,58.02099,56.17191,38.23088,70.46477,37.03148,44.07796,46.97651,,,,,,,
India,IND,2014,61.25552,49.16626,51.42227,81.95194,34.28151,45.7332,51.44679,,,,,,,
India,IND,2022,73.14902,66.4073,74.5909,84.8933,40.64098,63.72361,67.67802,,,,,,,
Indonesia,IDN,2004,,51.2,57.2,73,31.2,50.6,39.8,,,,,,,
Indonesia,IDN,2010,50,49.85104,53.1545,72.49255,28.87008,53.77358,34.34394,,,,,,,
Indonesia,IDN,2022,72.4808,67.51146,74.39649,88.75264,36.76885,78.81444,50.88082,,,,,,,
Iran,IRN,2004,,49.72354,34.55766,,24.05213,57.03002,57.38547,,,,,,,
Iran,IRN,2010,42.33221,55.34308,29.88376,57.25534,19.61005,48.27457,40.69767,,,,,,,
Iran,IRN,2022,76.38426,84.85657,71.71448,91.5944,49.03269,51.70113,63.57571,,,,,,,
Iraq,IRQ,2004,,,,52.51613,,36.43011,,,,,,,,
Iraq,IRQ,2010,,,,59.23732,,56.60867,,,,,,,,
Iraq,IRQ,2014,55.16667,57.41666,22.5,60.75,10.91667,38.16666,20.5,,,,,,,
Iraq,IRQ,2022,41.91666,54.5,31.25,71.08333,10.16667,19.25,11.5,,,,,,,
Ireland,IRL,1984,57.25571,85.48685,54.25913,75.26122,,,51.91963,,,,,,,
Ireland,IRL,1993,46.9,85.39999,59,60.5,,,49.9,,,,,,,
Ireland,IRL,2004,53.70639,82.56715,58.35764,57.58004,,,30.5088,,,,,,,
Ireland,IRL,2010,48.45322,68.68803,58.90234,66.11086,29.76697,35.93869,46.13145,,,,,,,
Italy,ITA,1984,42.90256,67.62101,28.18054,58.30359,,,30.22726,,,,,,,
Italy,ITA,1993,31.81104,66.6637,26.80853,47.52689,,,31.62878,,,,,,,
Italy,ITA,2004,30.65,66.2,32.25,50.3,,,33.15,,,,,,,
Italy,ITA,2010,40.91585,75.79325,37.41624,70.49417,14.11681,26.40526,32.34365,,,,,,,
Italy,ITA,2022,39.88647,79.87067,35.0206,75.12837,12.48801,23.72037,27.48396,,,,,,,
Japan,JPN,1984,67.71982,66.44086,30.07318,35.10753,,,27.73318,,,,,,,
Japan,JPN,1993,61.32542,57.76459,33.0366,23.9367,,,28.38773,,,,,,,
Japan,JPN,1998,74.09867,76.37571,34.91461,59.48766,17.26755,29.98103,24.19355,,,,,,,
Japan,JPN,2004,,48.09104,29.36858,61.52717,16.51982,25.40382,19.75037,,,,,,,
Japan,JPN,2010,77.09854,65.14599,30.20073,69.89051,16.78832,29.10584,21.44161,,,,,,,
Japan,JPN,2014,73.72084,68.15392,31.76423,67.13058,14.77691,24.31437,19.77077,,,,,,,
Japan,JPN,2022,77.90096,78.64006,44.64154,80.56171,25.64671,39.8374,31.11604,,,,,,,
Jordan,JOR,2004,,87.69776,57.32681,88.44691,19.01068,79.73347,58.0756,,,,,,,
Jordan,JOR,2010,86.41021,89.24802,52.82534,93.9866,26.23056,82.73673,56.17096,,,,,,,
Jordan,JOR,2014,73.5,81.91666,44.33333,90.33333,9.666666,54.16667,21,,,,,,,
Jordan,JOR,2022,77.55611,92.51871,36.8246,94.51372,8.146301,36.1596,9.975062,,,,,,,
Kazakhstan,KAZ,2014,50.6705,50.30386,67.4312,71.97058,55.13836,74.80428,67.08778,,,,,,,
Kazakhstan,KAZ,2022,63.08777,65.1254,66.37931,80.87775,57.36677,68.57367,64.57681,,,,,,,
Kenya,KEN,2022,50.39495,35.46604,45.18167,58.45182,22.78481,44.78673,36.09795,,,,,,,
Kosovo,OWID_KOS,2010,60.72037,70.25417,65.01976,75.46725,53.1864,62.44709,62.6889,,,,,,,
Kuwait,KWT,2014,72.52494,68.22717,50.80583,70.4528,,60.55257,45.35687,,,,,,,
Kyrgyzstan,KGZ,2004,,22.91467,44.2953,56.9511,25.40748,34.89933,35.57047,,,,,,,
Kyrgyzstan,KGZ,2014,50.13334,54.93333,61.86666,63.73333,50.86667,57.66666,55.06667,,,,,,,
Kyrgyzstan,KGZ,2022,39.10083,48.38678,59.91495,69.69901,32.24216,52.19461,36.84333,,,,,,,
Latvia,LVA,1993,35.43743,19.71207,,24.03101,,,,,,,,,,
Latvia,LVA,1998,37,30.33333,42.25,29.91667,9.833334,37.41667,24,,,,,,,
Latvia,LVA,2004,43.63277,38.69694,46.69299,43.43534,,,26.25864,,,,,,,
Latvia,LVA,2010,40.73875,52.48334,54.92337,55.61975,13.94921,20.42965,19.63117,,,,,,,
Latvia,LVA,2022,56.05263,68.10967,64.20687,71.61103,11.07328,29.9545,26.73124,,,,,,,
Lebanon,LBN,2014,41.75,42,33.16667,45.66667,25.66667,22.75,30,,,,,,,
Lebanon,LBN,2022,34.08333,55.5,12.25,89.33333,13,19.83333,13.66667,,,,,,,
Libya,LBY,2014,53.15495,55.13338,40.84616,49.48199,6.028308,22.54261,13.53636,,,,,,,
Libya,LBY,2022,51.50502,50.29288,29.26422,47.65494,2.953587,28.42809,9.335576,,,,,,,
Lithuania,LTU,1993,38.4,28.4,,21.3,,,,,,,,,,
Lithuania,LTU,1998,20.51536,19.7225,34.98513,35.38157,12.2894,33.20119,23.58771,,,,,,,
Lithuania,LTU,2004,16.90108,24.75791,18.60443,42.60609,,,9.971508,,,,,,,
Lithuania,LTU,2010,22.67982,42.6776,31.56668,60.38219,7.995842,22.89316,13.33228,,,,,,,
Lithuania,LTU,2022,47.84277,69.76015,44.17437,70.47965,16.72938,38.9565,22.3386,,,,,,,
Luxembourg,LUX,2004,53.80293,69.78844,53.86255,50.29732,,,56.21352,,,,,,,
Luxembourg,LUX,2010,65.08923,73.53271,67.67563,52.38084,37.24026,65.29084,64.12852,,,,,,,
Macao,MAC,2022,75.96059,73.62205,66.07495,67.55424,59.2666,68.70078,64.23646,,,,,,,
Malaysia,MYS,2010,77.68526,74.60449,69.77518,84.42964,58.28477,75.43713,67.44379,,,,,,,
Malaysia,MYS,2014,80.23077,73.69231,77.61539,80.07692,61.92307,75.07693,69,,,,,,,
Malaysia,MYS,2022,62.68088,59.48211,59.93907,74.48591,31.45469,50.11424,42.19345,,,,,,,
Maldives,MDV,2022,41.19345,62.17517,47.06449,73.14725,11.46435,29.54764,14.06551,,,,,,,
Mali,MLI,2010,59.22521,63.21312,53.44943,79.59318,33.71162,65.63324,49.73369,,,,,,,
Malta,MLT,1984,42.82655,50.53533,52.03426,34.26124,,,40.89936,,,,,,,
Malta,MLT,1993,37.48705,50.79225,37.62064,38.02243,,,39.93058,,,,,,,
Malta,MLT,2004,44.22814,66.48112,48.32655,70.30371,,,51.15277,,,,,,,
Malta,MLT,2010,43.5777,79.91792,53.04535,78.99485,34.66444,48.39477,50.66118,,,,,,,
Mexico,MEX,1984,52.53964,31.58449,23.13553,48.4948,,,27.56442,,,,,,,
Mexico,MEX,1993,53.16786,31.67864,27.69432,46.83213,29.78446,24.23253,34.35663,,,,,,,
Mexico,MEX,1998,41.0596,33.04636,40.7947,59.13907,33.31126,41.45695,41.39073,,,,,,,
Mexico,MEX,2004,,29.14832,19.65414,51.18834,23.75694,35.96665,20.83842,,,,,,,
Mexico,MEX,2010,36.85897,33.07692,24.35897,62.5,23.46154,43.91026,24.9359,,,,,,,
Mexico,MEX,2014,30.75,28.4,21,58.95,21.95,38.7,25,,,,,,,
Mexico,MEX,2022,22.15563,21.27106,16.30797,50.33029,11.31205,17.40929,14.38274,,,,,,,
Moldova,MDA,1998,49.28862,33.23171,49.79675,56.09756,16.66667,42.68293,39.73577,,,,,,,
Moldova,MDA,2004,,34.18133,44.1917,54.8435,23.18897,36.30298,33.46113,,,,,,,
Moldova,MDA,2010,35.26218,33.38452,26.41118,48.61665,18.92449,32.03136,31.71757,,,,,,,
Mongolia,MNG,2022,37.53407,46.55075,38.63091,43.65162,19.69506,38.57949,25.80897,,,,,,,
Montenegro,MNE,1998,55.83333,52.08333,44.58333,57.5,21.25,44.58333,41.25,,,,,,,
Montenegro,MNE,2004,,37.92453,25.66038,47.92453,23.86792,31.79245,30.75472,,,,,,,
Montenegro,MNE,2010,42.02959,42.62422,45.85306,34.74318,15.18,36.39989,34.90946,,,,,,,
Montenegro,MNE,2022,34.52076,46.98047,35.78518,56.9562,28.87813,36.09199,33.12823,,,,,,,
Morocco,MAR,2004,,51.55962,34.15791,69.52688,13.20312,54.82153,19.08818,,,,,,,
Morocco,MAR,2010,61.66667,59.5,48.25,66,32.91667,52.5,41.75,,,,,,,
Morocco,MAR,2014,58.16666,61.5,46.33333,73.08334,25.25,44.33333,35.33333,,,,,,,
Morocco,MAR,2022,38.25,47.33333,33.5,58,18.66667,21,20.08333,,,,,,,
Myanmar,MMR,2022,59.66667,60.33334,75.75,33.25,68.25,80.16666,75.91666,,,,,,,
Netherlands,NLD,1984,62.94717,71.79987,43.71891,42.48597,,,43.76911,,,,,,,
Netherlands,NLD,1993,62.45536,72.88361,45.45535,31.28376,,,53.39558,,,,,,,
Netherlands,NLD,2004,47.96614,63.82672,36.77938,39.73182,,,54.72606,,,,,,,
Netherlands,NLD,2010,50.14034,64.35668,35.92934,48.77429,28.34754,39.44902,39.70587,,,,,,,
Netherlands,NLD,2014,61.88223,65.50999,33.33334,49.42166,18.24395,32.9653,32.59726,,,,,,,
Netherlands,NLD,2022,59.22834,69.8599,34.56626,54.68775,19.8448,38.64028,35.09663,,,,,,,
New Zealand,NZL,1998,44.62947,78.35137,26.06161,57.11906,5.745213,15.2373,14.15487,,,,,,,
New Zealand,NZL,2010,44.33962,72.43187,38.57442,66.56184,13.41719,37.52621,31.76101,,,,,,,
New Zealand,NZL,2014,60.52319,78.478,43.1629,76.09988,15.21998,44.70868,35.67182,,,,,,,
New Zealand,NZL,2022,70.08797,87.43914,50.34415,82.66796,20.50781,51.60976,40.2737,,,,,,,
Nicaragua,NIC,2022,22.41667,25.75,15.58333,22.08333,11.91667,27.5,17.41667,,,,,,,
Nigeria,NGA,1993,63.93607,43.65634,74.92508,60.53946,37.66233,26.07393,52.94705,,,,,,,
Nigeria,NGA,1998,45.80417,28.53464,54.7782,43.1883,23.65651,26.07937,24.2312,,,,,,,
