ID,Intervention ID,N,% Vaccinated,Beta (ALL),Beta (WHITE),Beta (NONWHITE)
6_1,Akinola_1,2366,44.42%,0.024,0.025,0.028
6_2,Akinola_2,2380,43.49%,0.015,0.027,-0.005
27_1,Bogard_1,2381,46.70%,0.046,0.064,0.009
27_2,Bogard_2,2352,45.41%,0.032,0.039,0.018
43_1,Buttenheim_1,2355,44.97%,0.03,0.049,-0.016
43_2,Buttenheim_2,2350,42.47%,0.008,0.03,-0.04
63_1,Hmurovic_1,2344,42.49%,0.008,0.016,-0.01
63_2,Hmurovic_2,2367,44.87%,0.025,0.031,0.015
50_1_3,Meyer_1_3,2354,43.46%,0.014,0.025,-0.005
50_2_4,Meyer_2_4,2397,44.18%,0.018,0.033,-0.014
100_1,Milkman_1,2353,44.41%,0.02,0.048,-0.043
100_2,Milkman_2,2391,45.21%,0.028,0.03,0.026
100_3,Milkman_3,2376,42.76%,0.006,0.015,-0.012
4_1,Nam_1,2365,45.33%,0.028,0.042,-0.004
4_2,Nam_2,2387,44.20%,0.021,0.031,0.001
4_3,Nam_3,2360,43.86%,0.014,0.017,0.014
16_1,Saccardo_1,2371,44.03%,0.019,0.042,-0.027
16_2,Saccardo_2,2373,45.55%,0.029,0.048,-0.01
16_3,Saccardo_3,2295,44.01%,0.017,0.024,0.009
