ID #,Team,Original condition name,Is_Control,Words_First,FR_ReadingLevel_First,FR_ReadingEase_First,Hours_PreAppt,Total_Messages,Imperative_FullConvo,Interrogative_FullConvo,ExclamationMarks,Multimedia,AnyInteractive,ReservedforYou
100_1,Milkman_1,Easy health behaviors,0,56,5,80.4,19,5,5,4,1,0,1,0
100_2,Milkman_2,Hard health behaviors,0,56,5,80.4,19,5,5,4,1,0,1,0
100_3,Milkman_3,Control,1,62,3.6,87.1,19,1,1,0,1,0,0,0
16_1,Saccardo_1,Control,1,54,5.6,70.8,19,3,3,1,0,1,1,0
16_2,Saccardo_2,Basic Information,0,54,5.6,70.8,19,3,3,1,0,1,1,0
16_3,Saccardo_3,Vivid information,0,54,5.6,70.8,19,3,3,1,0,1,1,0
27_1,Bogard_1,Control,1,72,5,77,24,2,3,0,1,0,0,1
27_2,Bogard_2,Just-in-time reminders,0,72,4.8,76.6,0.25,2,3,0,1,0,0,1
4_1,Nam_1,Control,1,50,4.1,77.7,1,2,1,0,0,0,0,0
4_2,Nam_2,Flu Shot Dedication,0,75,4.8,75.4,1,3,3,0,0,0,1,0
4_3,Nam_3,Protect others,0,86,5.2,74.1,1,3,3,0,0,0,1,0
43_1,Buttenheim_1,Opt-out flu shot reservation,0,66,3.8,86.7,19,2,1,0,0,1,1,1
43_2,Buttenheim_2,Opt-in flu shot reservation (control),0,59,4.2,82.1,19,2,1,0,0,1,1,0
50_1,Meyer_1_3,Pro-social reasons for Flu Shots,0,80,5.8,73.6,0.25,3,3,0,1,0,1,0
50_2,Meyer_2_4,Self-Oriented Reasons for Flu Shots,0,77,5.7,73.7,0.25,3,3,0,1,0,1,0
50_3,Meyer_1_3,Pro-social reasons for Flu Shots_COVID,0,87,5.3,76.1,0.25,3,3,0,1,0,1,0
50_4,Meyer_2_4,Self-Oriented Reasons for Flu Shots_COVID,0,83,5.9,73.5,0.25,3,3,0,1,0,1,0
6_1,Akinola_1,Control,1,88,5.1,77.4,1,2,5,0,0,0,0,0
6_2,Akinola_2,Intergroup competition,0,85,5,77.6,1,2,5,0,0,0,0,0
63_1,Hmurovic_1,Sharing Humor,0,58,5.4,76.9,19,2,2,1,0,1,1,0
63_2,Hmurovic_2,Control,1,48,5.6,71.9,19,1,1,0,0,0,0,0
50_1_3,Meyer_1_3,Self-Oriented 2,0,83.5,5.55,74.85,0.25,3,3,0,1,0,1,0
50_2_4,Meyer_2_4,Pro-Social 2,0,80,5.8,73.6,0.25,3,3,0,1,0,1,0
